Comments,Like,Dislike,User
"중국이란 나라는 문화대혁명 이후로 걸레가 되었다 물론 그때 중화의 아버지도 뒤졋다 현재의 중국은 북한과 같은 테러집단에 불과하며 미개함과 미세먼지,우한폐렴만 남았다 .",7,0,hans****
중국똥 전세계가 치워야 하나 !!!,7,0,yshw****
아무도 중국하에 자유는 원하지 않음. 다 알면서도 미국하에 자유가 좋은거다 모든 나라가,21,2,code****
그때 다 찢어 놨어야 했다,6,1,sadg****
자기들은 수천년동안 이웃들을 공격하고 지금도 그 탐욕을 버리지 못하면서 다른이들을 조롱하나...똥뭍은 개가 겨뭍은 개 비웃는다더니...딱 그꼴,6,4,jinh****
진짜 비교할걸 비교해라 수준참,1,0,visi****
"625때 중공에 핵을 쓰지않은게 첫번째 실수고,미국이 소련 견제한다고 중공을 키운게 두번째 실수다.싸다고 한번쓰고 망가지면 버리면되지하고 중공제 팔아준게 세번째 실수다.",1,0,milk****
그래서 어쩌라구요 기사가 왜이래 편파적이냐,1,0,rx48****
중국이 할말은 아니지 ... 세계의적국,2,2,kei1****
정작 중국은 풍자 못 하는 중국 풍자 만화가. 어용이지 뭔 풍자. 풍자라는 문화가 있냐 중국이. ㅋㅋㅋㅋ,0,0,iqyo****
유사인류,0,0,cha6****
풍자??? 120년 전이면 중국 청나라가 관료의 부패와 윤리적 타락으로 동아병부(東亞病夫)라 불리던 시절 아니던가? 결국 양심도 역사 의식도 없는 자칭 지식인이라는 자가 지금의 중국도 120년 전과 다름이 없다는 것을 자인한 것 밖에 되지 않을 듯...,0,0,scj0****
세계의 민 폐국 지금도 전세계 사망자 속출하고 있는데 그 이름하여 중국 우환 코료나 바이러스 창궐국 너무나 거창한 나라이지요 진핑아 부끄러운 알아라 짜장아,0,0,fire****
조선족들은 저걸 보면 무슨 생각을 할까?,0,0,gnas****
니들손에 학살당한,0,0,fofo****
중국탄압 ㅋㅋ 전형적인 피해자논리. 시비를 여기 저기 거는데 연합군이 생겨 안생겨?,0,0,jsle****
옛날에 등소평이 그랬다. 중국은 패권을 위해 쓰레기같은 짓을 하는 나라는 되지 않을 거라고,0,0,iiii****
문재인이는 월북해서 중국몽꾸세요,0,0,supe****
부디 모든 중국인들이 착한중국인이 되었으면 좋겠다.,0,0,k77r****
아무도 중국하에 자유는 없다.다 알면서도 미국하에 자유가 보장되는거다.,0,0,gji0****
저 국제적인 세균덩어리 암같은것덜 120년전으로 가뒤두고 조련이나 착하게 만들어줘야함!,0,0,alla****
짱꼴라국으로 떨어져라,435,5,cans****
