,0
2869,0
2870,30
2871,0
2872,13
2873,1
2874,49
2875,1
2876,52
2877,2
2878,47
2879,1
2880,0
2881,0
2882,20
2883,3
2884,1
2885,1
2886,1
2887,4
2888,0
2889,0
2890,67
2891,10
2892,209
2893,8
2894,37
2895,4
2896,141
2897,47
2898,131
2899,1
2900,24
2901,3
2902,39
2903,21
2904,223
2905,7
2906,114
2907,15
2908,178
2909,72
2910,19
2911,0
2912,9
2913,183
2914,83
2915,0
2916,0
2917,0
2918,0
2919,0
2920,0
2921,0
2922,0
2923,1
2924,1
2925,3
2926,3
2927,1
2928,0
2929,0
2930,0
2931,0
2932,8
2933,0
2934,3
2935,0
2936,2
2937,2
2938,9
2939,12
2940,4
2941,1
2942,2
2943,0
2944,3
2945,6
2946,2
2947,1
2948,0
2949,0
2950,0
2951,1
2952,1
2953,0
2954,4
2955,0
2956,13
2957,5
2958,11
2959,2
2960,6
2961,4
2962,4
2963,2
2964,6
2965,2
2966,0
2967,1
2968,5
2969,6
2970,1
2971,1
2972,0
2973,12
2974,0
2975,1
2976,8
2977,0
2978,0
2979,0
2980,0
2981,0
2982,1
2983,0
2984,23
2985,1
2986,2
2987,0
2988,0
2989,1
2990,0
2991,3
2992,5
2993,5
2994,2
2995,2
2996,5
