,0
214,일본쳐들어가자.전에침략당한 복수하자
215,국민은 없고 대깨문만 사모하는 이나라
216,어짜피 브로커가 작업할텐데..갸들을 잡아들여야지..
217,가고오고자기마음이지누가강짜로붙잡는거아니야.내인생내가살지누굴위해사는거아니야...정부는뭘해주는거있냐.돈많이주면누구든모두간다......
218,저기는 국부창출산업을 보호할려고  애쓰는데   문가는  반대로  감옥보내고  좌파가 삼성경영장악하며  기업흔들고 잏지요.
219,"쿼드에 한국이 들어가면 가장 싫어하는 순위는 중국, 러시아, 일본 순일것이다. 미국이 쿼드에 들어오면 군사와 앞으로 미래 경제를 같이 한다고 했기에 ..ㆍ.예를 들면 비메모리반도체도 우리가 할수 있는데. 우리가 쿼드에 빠지는 바람에 일본만 세계최강대국 미국과 군사훈련도 같이하고 5G..인공지능등도 같이하게되었는데..., 한국이 끼어들면 미국과 한국이 일본빼고 둘이 할꺼니깐.. 우린 원래 혈맹이고 일본은 진주만때 엿 맥인 과거가 있어서 .1980년말 일본은 반도체 최강이었지만 패권전쟁에서 패해, 미국과 우리삼성이 수혜를 입"
220,진짜 대만을 보고 배워야겠다
221,하물며 대만도 중국 견제하는데 이놈의 나라는 중국 시다짓만 하고 있으니 ㅠㅠ
222,말장난하고 있네
223,"안 들어가기 잘 했다.
지가 먼저 벌써부터 발 빼네."
224,자국 우선주의는 옛날이나 지금이나 앞으로나  영원한  진리이므로  우방도 맹방도 적도 없다는   옛  어른들 말씀   새겨들어야.
225,"왜 인도땅이 탐나시남요
분열을 막을순   없디요"
226,병주고 약주냐?
227,진핑아ㆍ니들이나잘해라ㆍ각나라마다ㆍ떠돌아다니며민폐끼치는ㆍ니들인민들이나ㆍ다불러들여라~
228,중국 은  바이러스  원조국. 우환  바이러스.
229,"중공정권은 인도에 위로문 보다
코로나 펜데믹 반성문 먼저 써야하는게 순서 아닌가?

초기 중국 우한서 발생했을때 
항상 중공정권이 해왔듯이
사실은폐,언론차단, 중국발 해외여행객 막았으면 상황이 이렇게 심했을까?

또한 중국발 역병이기에
중공 만행이 초래한 전염병인데,
국제사회 인류가 중공 바이러스로 죽어가는거 보고 진심으로 위로함인가 아님, 이기회에 백신외교,의료외교로 패권쟁탈 연장선인가?

국제사회에 진심어린 애도 보낸다면서
어찌 중국인 목숨은 소돼지만도 못한 취급하나?
중지! 중공, 인권탄압, 특히 파룬궁 모함,강제생체장기적출"
230,"진핑씨 말은 바로 해라~~~ 돕겠다가 아니고 갚겠다 이지...
니들이 발생시킨 코로나 잖아.... 뭐? 미국군인들이 갖고 들어왔을지도 모른다고라????
그러니 중국인들이 미국에서 얻어 터지는 거야... 니들과 구분 못하는
우리 한국교포들도 죄없이 터지고..... 전 세계에 공식으로 사과라도 좀 해라~~~"
231,"인도야 코로나가 중국꺼야  속지마ㅋㅋㅋ
코로나 때문에 인도 박살나고 죠진거 전부 중국때문이야 정신차려 속지마ㅋㅋ조선족만 비추ㅋㅋㅋㅋ"
232,개웃기네ㅋㅋㅋㅋㄱㅋ지네들때문에 조졌는데 도움준다 난리ㅋㅋㅋㅋㅋ
233,병주고 약주고냐? ㅋㅋㅋㅋㅋㅋ
234,우리나라에서 수입안해야하는데 문제의재앙 대깨문과 문빠들이 수입하면 어떻하냐?
235,미  치   ㄴ  짜  ㅇ   ㄱ  ㅐ거 인정한다고
236,중국산수입하면 이번민주정부는 민심이폭망할거임
237,중국거 승인하면 who는 중국 부속 기구. 해체하라
238,"대만은 일본 좋아하고 북한 싫어하고 한국 싫어하지 
중국은 일본 싫어하고 북한 좋아하고 한국 싫어하지
한국은 일본 싫어하고 중국 싫어하고 북한 싫어하지 대만 좋아하지
고민되네"
239,한번 붙어라. 미국도 참여하고 그러면 이긴다.  중국이 더 커지기 전에 지금 전쟁히면 이긴다.
240,대만독립이 아니라 원래 대륙의 주인이었던 대만에 의한 중국통일이 중요
241,"대만만세다
중국은짠챙이"
242,"1시간이면
대만초토화되는
거가지고미국개들이
죽을려고대만지켜주겟나
당연히도망가지"
243,"중공은 이미 홍콩 사태를 통해서 
그 밑낯을 모두 노출시켰다 
감언이설을 그 누가 믿어주겠나
중공을 웃는 낯으로 열심히 잘
키워서  결국은 웃으면서 잡아먹지"
244,대만 독립 만세~!!
245,이미 독립된 나라인데 뭘 또 독립해??
246,"중국=북한
대만=한국
과 같은 경우다.
무슨 독립이냐 전쟁이 안끝나고 분단됐을 뿐이지"
247,중국과는 밀당을 해야지 따라야 할 상대는 절대 아니다 ㅋㅋㅋㅋㅋ 개체수도 많고 위생관념도 없고 역병을 퍼트리는게 바퀴벌레나 쥐와도 같네
248,"중국 참 혀가 왜이리길어
말로싸우냐"
249,중국 잘한다. 대만과 한번 부터라. 우리도 대만에 무기 팔아먹을 수도 있겠네. 우리도 미사일 팔 수 있으면 좋은데.
250,짝퉁이라 불안하다
251,"Good job China,  hopefully you will do good things for your citizens  and neighbors, you have walked on bad way untiil now though."
252,중국 기사 좀 그만 냅시다. 대체 우리나라에도 기사거리 차고 넘칠텐데 왜 자꾸 중국 기사를 갈깁니까???
253,"중공공산당은 항상 하는 짓이 내로남불이네 
너 자신을 알고 말해라 
자신이 하는 짓을 모르는 쓰레기 공산당 
미국 아니면 제주도 서해가 어떤 상황이 되었겠는가 끔찍하다"
254,얍샵한짜끼들
255,교활한 양키들
256,"미국과 한번 붙어보자, 저 바다위의 중국 공산당 함정들을 깨끗이 청소해서 바닷물속에 몽땅 다 집어넣자."
